id,songName,cluster,danceability,energy,speechiness,acousticness,liveness,valence,tempo,duration_min,key,mode,instrumentalness
55sgQENF3LY1sUcJUwasLl,Don’t Go (with Justin Bieber & Don Toliver),2,0.6464155528554071,0.6621468926553672,0.0301429662845993,0.0201006489052405,0.2618314245620522,0.3486469477658904,0.1211338594494541,0.2900019785937507,11,1,0
6rfahvufEQDIVTHJIU2QQB,"For Aisha (Featured in ""The Sky Is Pink"")",2,0.4993924665856621,0.5796610169491525,0.1336386388717201,0.0667120774978561,0.7261420467724216,0.0864275225508705,0.1332278599747364,0.547969796147048,4,1,0
5wSuylaa590DX3BPB6s6NO,Trenches,2,0.4447144592952613,0.7084745762711864,0.0396437610695539,0.0246558566995189,0.1827829222077313,0.2920075519194461,0.4957227009517616,0.2850158159935371,8,0,0
23aigxgRn6cVPxkJF3S5oe,4U,2,0.3098420413122722,0.4214689265536723,0.1290766527449614,0.2457423373194933,0.2634928470580722,0.1147472204740927,0.3321410258013683,0.3740916148466655,1,0,0
57bgtoPSgt236HzfBOd8kj,Thunderstruck,2,0.4191980558930741,0.8824858757062147,0.0196135623106478,0.0001287111039546,0.3962594412934355,0.2437591776798825,0.4867678877396602,0.4758125816855575,4,1,0
0CoPoNohPHCjvggWHlxgk5,Kielbasa,2,0.4240583232077765,0.6293785310734463,0.0733466058859769,0.133451168437283,0.195335071801615,0.5961820851688692,0.2824455644909139,0.3110495365349273,0,1,0
5h9hkYIBWTZYFRmF6Iz1gt,Love/Paranoia,2,0.4191980558930741,0.6666666666666666,0.014568566738008,0.0057994151325062,0.3351741379980707,0.34340255926159,0.3460922745975962,0.3215425285321614,5,1,0
1MY4HVXfBkUg1mUjmCjznI,Groovy Tony / Eddie Kane,2,0.3803159173754556,0.8090395480225988,0.3148719119983117,0.0652289865880911,0.2288742729851604,0.3108873505349276,0.6916655202171167,0.5698649351590146,4,1,0
44ADyYoY5liaRa3EOAl4uf,Slide Away,2,0.4532199270959903,0.4847457627118644,0.0148945067781198,0.1800625970298986,0.4338176238570848,0.2741766310048247,0.57763547907,0.3974552342623926,5,1,0
3aQem4jVGdhtg116TmJnHz,What’s Next,2,0.7582017010935602,0.5480225988700564,0.0391619609855925,0.0143801553961468,0.3222949722811761,0.0379693727711348,0.4640994534562329,0.3081119890342865,0,0,0
2hjqFVoMk6ssbfgtHEyhsY,Ark,2,0.4349939246658567,0.7186440677966102,0.0244814687213009,0.0164988566958111,0.665522740275174,0.0441577512062093,0.5906612304113461,0.3128243646959283,7,0,0
7exvmI4FqAE4NFYTkF1gR5,Love Is a Battlefield,2,0.5370595382746052,0.527683615819209,0.0189634437223774,0.0003956674677123,0.382292963491844,0.171386616320537,0.3709243718498694,0.4387382058465727,2,0,1
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,2,0.433778857837181,0.7016949152542372,0.0572152512119199,0.0015196385071842,0.2020272965674588,0.3224250052443885,0.7211751316332529,0.3456081641697954,1,1,0
3SawmGBjjq8EOYZJV11cJm,Only Wanna Be With You - Pokémon 25 Version,2,0.3803159173754556,0.6779661016949152,0.0090179128002964,0.0012865813642211,0.4940133000401996,0.2311726452695615,0.2648736195705192,0.4085027735290061,7,1,0
0EtcGmf2mVZbHWq2ZGP3t7,Spotlight,2,0.5771567436208992,0.7378531073446328,0.0291737745168185,0.037897739822421,0.2551172161978187,0.1441157960981749,0.3710869592405918,0.5205782501120679,11,0,0
1AgW0DVxsv35FnVKXD3V2U,She Knows This,2,0.2806804374240583,0.6779661016949152,0.0826074334282466,0.1652316879322482,0.5852701950429335,0.2594923431927837,0.169810022887302,0.371876713547538,6,0,0
6jiwr6xTHqjdun5d3cEwXV,Elsie's Baby Boy (flashback),2,0.5565006075334143,0.6259887005649718,0.0228603961329555,0.2203179217235211,0.5587453636563677,0.106356198867212,0.2468764460897732,0.3759484771410108,2,0,0
3jHxjhh7VXy3ksNPN0HBy6,SQUARE UP (feat. Juicy J),2,0.3608748481166465,0.6067796610169491,0.18596830490376,0.0197828437102909,0.6045502956558868,0.2164883574575204,0.1847242893055017,0.3570088950565969,8,0,0
5KCbr5ndeby4y4ggthdiAb,Wonder,2,0.2138517618469016,0.5966101694915255,0.0545116057855237,0.1387479216864439,0.3030425336182867,0.1105517096706523,0.526651825356129,0.2982184585927067,1,0,0
5NhlpQ6BOIz3S5welptk1W,Sober,2,0.6682867557715675,0.511864406779661,0.0099987702432819,0.1313324671376186,0.7269219216138267,0.4105307321166351,0.265236314519054,0.4233365232991908,0,1,0
6siDDghVE7fxel5o7fE4OF,Sweater Weather,2,0.5018226002430134,0.8632768361581921,0.0733466058859769,0.0090092476014977,0.5577796039392906,0.2196349905601006,0.4340270395337494,0.2953495903894289,5,0,0
3yXgttblOo006gd4eGOvw1,Heavy Hearted,2,0.589307411907655,0.8790960451977402,0.0516441836705811,0.0017315086371506,0.203777440119012,0.2301237675687014,0.4463836812286604,0.4295188345645049,9,0,0
1h2nlMzL1hFRaSMKuUHaDB,IN-TO-IT,2,0.2794653705953828,0.9887005649717514,0.2180479830629337,2.5000675336039272e-05,0.5539032716185279,0.2552968323893433,0.7154282927073303,0.3396176604538052,7,1,0
0JgWQReWTanfrbT9FRJ7Jj,Wake Up,2,0.5139732685297691,0.5220338983050847,0.1057707371495644,0.1355698697369473,0.1802979962685412,0.3475980700650303,0.2213064522180672,0.3329576562740698,7,1,0
1supkf9D4Obm2yTHqug3m8,Douha (Mali Mali) (Edit),2,0.7181044957472662,0.8124293785310734,0.1933129837142421,0.0306941554035622,0.3090527999534018,0.4745122718690999,0.4271483422339509,0.2961864973340943,0,1,0
7IuPRPJRgyomRDV7HobwoD,I'm Fucked Up,2,0.4520048602673148,0.7943502824858758,0.2020845253241403,0.0948908047833919,0.5597098049283009,0.132578141388714,0.5271958677789312,0.3571493933641561,1,1,0
5xu3wnPlfdmW7dMiX5XA2P,"End Of Daze (with EARTHGANG & JID feat. Jurdan Bryant, Mereba & Hollywood JB)",2,0.4094775212636695,0.5502824858757062,0.3725119857924752,0.2351488308211715,0.2288742729851604,0.1000629326620516,0.1641694911014671,0.520978509598975,9,0,0
3g5Ic6JpM8T3JdTb3gEqTC,Crystals,2,0.3377885783718105,0.5785310734463277,0.0336919051461704,0.0078969294191739,0.1983034796883306,0.119991608978393,0.4040484260289906,0.3463504813207441,1,1,1
5MZbUlBSqkRJkc0nxp730C,Blue Train Lines,2,0.3013365735115432,0.6621468926553672,0.0204258577887021,0.2637512983666402,0.4000066748983479,0.2416614222781623,0.7147091561714423,0.4207659612884213,2,0,0
2X02fQE8qP1OvtnRrg2bKg,Off My Chest (feat. Lil Pump),2,0.4021871202916161,0.5367231638418078,0.230997375898837,0.0055345774700481,0.2667957144636694,0.3339626599538493,0.4644058681541328,0.3093958623494305,8,1,0
2F1Ndgv2SMC2uwpyRTialz,More Than You Thought,2,0.4738760631834752,0.632768361581921,0.092284586586712,0.1895967528783881,0.5749658419917463,0.1808265156282777,0.1203834561076579,0.4146596111886503,1,0,0
7fSKL7BesYzTxMZa4IbgGl,Hurry 2.0,2,0.3438639125151883,0.9220338983050848,0.1176173285464367,0.2065463632757029,0.2781540709906334,0.2133417243549402,0.6212589266730868,0.3432068764883595,1,1,0
5B1qeFOEeUCMudPEVeasHp,Delete Forever,2,0.4896719319562577,0.7084745762711864,0.0155461976760653,0.0142742203311636,0.3393915252950394,0.3801132787916929,0.2458133746888953,0.4029947037983127,8,1,0
0UgOoittThKoeePLufhLTs,Two Shots,2,0.3183475091130012,0.5717514124293785,0.2622384977136673,0.0051002437036169,0.2733237263560315,0.3706733794839521,0.5581625123503884,0.2839046624365905,2,1,0
3DK6m7It6Pw857FcQftMds,Runaway,2,0.2636695018226003,0.5186440677966101,0.1336386388717201,0.231970778871675,0.6886680596766639,0.0885252779525907,0.181685155771227,0.7076561022006556,1,0,0
1S2zNPB4JaGsinUjdlwn1a,Anything Can Happen (feat. Meek Mill),2,0.6281895504252735,0.7966101694915254,0.0720869706873889,0.0249736618944685,0.5917527522499895,0.1640444724145164,0.5148892529734732,0.316694405817046,2,1,0
2cDCojn6uIBM6A5xTAbl3H,m.A.A.d city,2,0.4009720534629405,0.7005649717514124,0.3632621192491696,0.0569660515194001,0.6268773306402684,0.1997063142437591,0.2211751316332529,0.5399233912162893,2,1,0
2d3QlXE6FXFDeodiS66yjM,Weekend Friend,2,0.3061968408262454,0.5480225988700564,0.0108157152905896,0.0338722073530588,0.2033892732648477,0.1944619257394587,0.3408582112885676,0.3607767009094786,1,1,0
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,2,0.3110571081409478,0.8723163841807909,0.0201009866106112,3.6441662354226736e-05,0.1836070892264016,0.3538913362701908,0.640262891304076,0.4213101560407394,11,0,0
7gkPG2e1tKqXJ8FPmqt3gB,Turn Me Down - Dark Heart Remix,2,0.3669501822600244,0.752542372881356,0.0417299701472277,0.0007516092860559,0.2667957144636694,0.1462135514998951,0.526651825356129,0.3695200129352415,0,0,0
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,2,0.4592952612393682,0.9570621468926552,0.0161976364935875,0.000618131104177,0.4500063076699067,0.0979651772603314,0.452149280238128,0.4429610428610472,1,0,0
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,2,0.4325637910085055,0.776271186440678,0.0621342821402857,0.0015302320136825,0.2099308173970404,0.3339626599538493,0.7212501719674325,0.3481150493868214,1,1,0
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,2,0.3693803159173755,0.5468926553672316,0.0183130740745958,0.1800625970298986,0.4993037509735128,0.1556534508076358,0.4908325725077229,0.3897155293136626,1,1,0
5AFrctm65wWIqJsjHPPx85,Midnight Hour with Boys Noize & Ty Dolla $ign,2,0.7752126366950184,0.8926553672316385,0.0709840165127743,0.0024624605855348,0.3732102749681081,0.3171806167400881,0.439605037707768,0.3436338460138292,0,1,0
57BrRMwf9LrcmuOsyGilwr,Crawling,2,0.5139732685297691,0.6700564971751412,0.0152203837493379,0.0493387268406085,0.7072116518587916,0.2857142857142856,0.3088972822892304,0.3599924994948801,4,1,0
57vxBYXtHMk6H1aD29V7PU,Heartless,2,0.4544349939246659,0.7242937853107344,0.1366731120926707,0.0066680826653686,0.2517177903952979,0.1797776379274176,0.7146028490313545,0.3456737629689092,10,0,0
4lLmG1fatRUgnRz0Ol0WUi,Why I Love You,2,0.3924665856622115,0.7898305084745764,0.0291737745168185,0.0274101683890825,0.4579384023167545,0.3601846024753513,0.4234025788861513,0.3477888278554271,5,1,0
2QbTsEUF97LixvDbyKUdCj,Maybes - RAC Mix,2,0.5006075334143377,0.7706214689265537,0.0181504424118745,0.1514601294844299,0.2378204563674436,0.2846654080134256,0.5259139287366961,0.399363712653266,6,1,1
7BdBAeVMiVHbszGoN7WsAt,Memories That You Call (feat. Monsoonsiren) - ODESZA & Golden Features VIP Remix,2,0.5820170109356015,0.5265536723163842,0.0116322642433133,0.0123673891614656,0.256806216290231,0.1745332494231172,0.4021974311192266,0.3763973182259997,10,1,1
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,2,0.5358444714459295,0.3593220338983051,0.0119587730039329,0.0578135320392659,0.3874138602331251,0.0355569540591566,0.1300073789661943,0.3037325188059142,7,0,0
6ZXqxWmrcUBSnBbnVq5Gl0,Nice To Have,2,0.6901579586877279,0.3943502824858756,0.0332083990855258,0.0795302203608254,0.2039713628809198,0.0210824417872875,0.1426204084695524,0.3957073762179802,0,1,0
0jx15CFfjkYXK0MGZYv2LB,Some Other Way,2,0.5212636695018226,0.5480225988700564,0.0063994966755258,0.2690480516158011,0.256806216290231,0.2175372351583805,0.5276336030616458,0.3039134106874394,5,1,0
1AL43xNYEG5KSoqf9Yd6Cr,Violence,2,0.4155528554070474,0.9096045197740114,0.0433329896685983,0.000630843311975,0.2517177903952979,0.0548563037549821,0.2769613667346198,0.3783657152434331,5,0,1
10dLRZ7GCIXEuUuONkNcxI,Kaleidoscope (Feat. Crystalline),2,0.5540704738760632,0.6508474576271187,0.0267483521082675,0.0073990346137528,0.2039713628809198,0.1000629326620516,0.4521930537663994,0.3645899538507169,0,1,0
1Ounm82xbJhPkaHzk4owtl,Us and Them,2,0.5650060753341434,0.6881355932203389,0.0171743224954445,0.3516774023027105,0.2055189122790468,0.3371092930564295,0.1301699663569169,0.3397906081158018,5,1,0
7cPO2IPraPDlGIguekShlV,Jewel,2,0.3730255164034022,0.4372881355932203,0.0330471995465656,0.1726471424810734,0.8855856155281303,0.0563247325361862,0.3604312317870855,0.3351348886813645,0,1,0
1KbfyEZmBDhaeHnO2w2ZxR,Divide (feat. Kelsey Bulkin),2,0.3730255164034022,0.5220338983050847,0.0173370484419454,0.0140623502011971,0.6206911573437455,0.2364170337738619,0.183279762872544,0.4091942550718103,0,1,0
42pfVZ7DtHXhcAvQvXqHdG,Rock Music,2,0.416767922235723,0.6813559322033897,0.0545116057855237,0.0068375787693417,0.3222949722811761,0.1766310048248374,0.3891841865002439,0.4582502758667702,5,1,1
0fhoeNTlGRZgNlwfVLauFs,Too Many Gods,2,0.486026731470231,0.5751412429378531,0.0322409703282382,0.3537961036023749,0.2066751394345619,0.0769876232431298,0.4098140250384582,0.2539126135597166,0,1,0
6mNMp0g3zkg1K7uBpn07zl,Red Lips (feat. Sam Bruno) - Skrillex Remix,2,0.4507897934386392,0.9875706214689264,0.1889100212534515,0.0005217301950423,0.3477186082211492,0.119991608978393,0.5584376602423804,0.3823687613421956,8,1,0
0Kz9aGVgFvndWkcaiylIt5,Warm Winds (feat. Isaiah Rashad),2,0.2794653705953828,0.4474576271186441,0.3311569592628013,0.2743448048649619,0.7292573849454433,0.1378225298930144,0.1829921082581887,0.5407462109195817,7,1,0
0FLFE8mxBn1yWAX8s2L8ru,All I Need,2,0.1239368165249088,0.423728813559322,0.0332083990855258,0.2934131165619411,0.3874138602331251,0.0711139081183133,0.308528333979514,0.383825782104866,8,1,1
5qozAS2huRB1yn4XDnJtoX,50-50 (feat. Instupendo),2,0.566221142162819,0.3977401129943503,0.0140795383702489,0.0157573112409286,0.539172222888767,0.3664778686805118,0.4648811236039372,0.3567325531485797,8,1,0
64wdPpi4OeCQF4W2oMZ9Wt,XTCY,2,0.4811664641555286,0.7344632768361582,0.0481329136340676,0.225614674972682,0.847264741272387,0.2301237675687014,0.239922708455795,0.3053433707029272,2,1,0
63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),2,0.6354799513973269,0.5084745762711865,0.1637401047668769,0.1821812983295629,0.5107931461641293,0.1157960981749527,0.9150355816251234,0.3364573620035037,0,1,0
5LCaw96SsbpHAQFAcbFwbI,Moon Love,2,0.6670716889428919,0.9333333333333336,0.0519630273258313,0.0177700774756097,0.2324780087995275,0.1965596811411789,0.4647623097414861,0.4117903619823859,6,1,0
4HrI0DIPyvRF1cxUUAGQJc,No,2,0.5151883353584448,0.8542372881355932,0.1037624152708775,0.0086172878610598,0.5777906347061434,0.2794210195091252,0.7401165626524258,0.4073648354138711,11,0,0
1dGfvs9UraQu7aTm4mpTd9,Hold,2,0.4617253948967194,0.8395480225988701,0.0950836988909053,0.0161810515008615,0.2551172161978187,0.2259282567652611,0.5896857060670111,0.3777121129828724,5,0,0
2x66KY9ZtoZsMv4z6KgLkV,Fast Lovers,2,0.5078979343863913,0.648587570621469,0.0220492743227375,0.046690350216028,0.1767451077374528,0.4503880847493182,0.5144640244131222,0.304141225273503,4,1,0
1j6kDJttn6wbVyMaM42Nxm,Lord Pretty Flacko Jodye 2 (LPFJ2),2,0.3985419198055893,0.6903954802259886,0.1607540540165182,0.013002999551365,0.125151906634914,0.0215019928676316,0.9524056680465752,0.2048915278028792,6,1,0
3yyYITDgnjAnJ33cn4E9gF,Heaven,2,0.6111786148238154,0.4926553672316385,0.014568566738008,0.2415049347201646,0.7439066036602031,0.0754143066918397,0.3711119726853184,0.3726209111332056,6,1,0
61lwey6oe4payZndOgsNQs,Alley-Oop (feat. iDA HAWK),2,0.4981773997569866,0.6519774011299435,0.0230225736266531,0.1154422073901361,0.219339008538999,0.4052863436123347,0.577191490426104,0.3473120958724642,6,1,0
0c8X4ApJu6CNEXoIb5VKMo,Frontlines,2,0.3037667071688943,0.9220338983050848,0.0807279962217552,0.0119436489015328,0.3639663856600802,0.0969162995594713,0.6022862288480058,0.3690499003521804,11,0,0
5FFoKbF8FK0AIC0i5GjSyM,Lights Out,2,0.4933171324422842,0.8135593220338982,0.0410883348667735,0.0758224930864128,0.2765500667597264,0.013425634571009,0.5650912365396401,0.3923105784819495,6,1,0
1YLJVmuzeM2YSUkCCaTNUB,Dog Days Are Over,2,0.4070473876063184,0.7920903954802261,0.0963262570452152,0.0440419735914476,0.2517177903952979,0.2290748898678413,0.5895356253986519,0.4230822146739811,7,1,0
0MInoMo8EitTC4eqqeobvZ,The Way I Are - OIJ Remix,2,0.6366950182260026,0.607909604519774,0.0124484174853588,0.0594025580140141,0.6579419714939114,0.250052443885043,0.46496867066048,0.2980974735534469,10,1,0
2VfWXoUeWSfI0yzEFRcVCn,Lullaby,2,0.4629404617253949,0.6666666666666666,0.0222115299403784,0.3220155841074097,0.2028062169881295,0.0822320117474302,0.3769088385006942,0.4436940329878862,0,0,0
0Y9D1Bc4fAkeZnVsGKdij6,WANTED U,2,0.1798298906439853,0.6847457627118644,0.0502086397433429,0.1112048047908074,0.203777440119012,0.2762743864065449,0.1707042535362757,0.4219524013343266,7,1,0
7DveMm88o6qrGHfPKI8UMA,Stupid World (feat. Bibi Bourelly),2,0.3912515188335358,0.4350282485875706,0.0291737745168185,0.157816233383423,0.2797520563802588,0.2731277533039647,0.615618394887252,0.3695417217890703,2,1,0
2EEiWAKVfsN0zGK33Ere5b,Falls - Kaskade Remix,2,0.3693803159173755,0.6858757062146892,0.0312729855241202,0.0104181839657745,0.2749399751606036,0.1734843717222571,0.6596045374388733,0.3837268022741022,6,1,0
3bQ3g7uap3wJyU0Pp02C54,Humble Bones,2,0.5261239368165249,0.8677966101694915,0.0280423453966683,0.1175609086898004,0.3463405077844281,0.4933920704845814,0.402122390785047,0.4619294604739454,0,0,0
6jKVU3e0gnQLj3iifJBvVN,Loyal,2,0.4131227217496962,0.9220338983050848,0.0804145526731116,0.0055133904570515,0.4024906523311833,0.2469058107824627,0.527045787110572,0.3581921035915973,2,1,1
3a2tuvXCHbW5nuUckuHkKT,Little Talks,2,0.3499392466585662,0.7322033898305085,0.0127747680690756,0.021795609944972,0.2984817072944668,0.4136773652192154,0.2951523944119965,0.4428056750209526,1,1,0
1hKqEI2bAnpvMzCh92H9zF,Celebrity Crush,2,0.7059538274605104,0.6903954802259886,0.0527598724705768,0.0560126359345512,0.3861382412571021,0.2322215229704216,0.1208462048350988,0.3099810835545769,8,1,0
